Putative_species,Original_order,Accession,Style_length,Stamen_length,Flower_length,Flower_width,Pedicel_length,Tooth_length,Tooth_width,Sinus_depth,Leaf_width,Leaf_length,Free_stipule_length,Petiole_hair_length,Laminar_hairs,Viscid,Pendent_fls,Calciphile,Bloom_date,Axis_3,Notes
missouriensis,103,French_s.n._Makanda_SIU_120146,0.79,0.76,2.22,1.15,3.63,3.19,6.23,6.29,9.8,7.3,2.13,0.66,0.43,1,0,0,Unknown,0.79275,
missouriensis,104,French_s.n._Union_Co._SIU_012302,0.54,0.83,1.8,1.13,3.42,2.64,4.87,5.99,11.1,7.3,2.06,1.16,0.38,1,0,0,7/28/1873,1.1661,
saurensis,105,Bozeman_11550_TENN,2.13,1.89,2.83,1.98,8.48,2.28,4.4,2.67,6.1,4.1,2.03,2.16,0.63,1,1,0,10/1/67,-1.9581,
puberula,106,Browne_69M2.5_TENN,1.79,1.78,3.46,2.68,10.64,3.1,5.86,3.56,7,4.1,1.38,0.35,0.79,1,1,1,9/20/69,-0.83954,
puberula,107,Browne_69M2.5_TENN,2.41,2.29,3.61,2.58,15.11,1.91,3.25,3.47,5.4,3.4,0.6,0.38,0.49,1,1,1,9/20/69,-0.71558,
puberula,108,Browne_69.10.19_TENN,2.02,2.15,2.83,2.13,8.93,3.18,4.66,3.28,5.6,3.5,1.69,0.31,0.61,1,1,1,10/19/69,-0.68448,
puberula,109,Morrilton_1113_TENN_Petit_Jean,1.8,1.61,2.67,1.98,5.63,2.47,7.72,2.81,9.8,6.3,2.85,0.2,0.47,1,1,1,7/28/55,0.45704,
missouriensis,110,Koelling_212_TENN,1.11,1,2.12,1.52,4.74,1.79,5.86,5.34,9.2,6.1,2.28,1.78,0.72,1,0,0,8/17/60,-0.087426,
missouriensis,111,Koelling_525_TENN,0.8,1.3,1.85,1.29,4.56,1.73,6.36,1.74,6.2,4.4,1.72,0.48,0.51,1,0,0,10/19/61,1.3606,
missouriensis,112,Clebsch_18787_TENN,0.93,1,2.07,1.83,4.23,1.61,5.3,6.19,12.4,8.5,3.96,0.74,0.53,1,0,0,9/21/54,-0.16241,
missouriensis,113,Schmalzer_802_TENN,0.93,1.16,1.69,1.2,5.23,2.42,4.98,2.59,6.3,4.5,1.45,1.11,0.96,1,0,0,8/29/79,0.2562,
missouriensis,114,Sherman_21656_TENN,1.03,1.23,2.03,1.37,5.98,3.98,7.4,5.33,10.2,7.2,1.05,1.97,0.74,1,0,0,10/20/56,0.21766,
missouriensis,115,FWW_13992_TENN,1.09,0.95,1.46,1.24,5.87,1.95,4.52,3.85,6.2,8,2.04,1.1,0.42,1,0,0,10/2/49,-1.5753,
parviflora,116,Godfrey_51297_TENN,1.99,1.9,2.05,1.74,12.76,1.89,5.15,3.83,9,6.5,2.32,1.73,0.73,0,1,0,7/25/51,-0.80402,
parviflora,117,Sharp_18542_TENN,1.7,2.27,2.56,1.51,8.75,3.23,7.36,2.87,4.9,3.1,1.25,0.54,0.36,0,1,0,8/29/54,0.98859,
parviflora,118,HMJ_3365_TENN,2.19,1.93,3.04,1.81,13.74,2.99,7.37,4.92,11.3,7.9,1.73,1.18,0.33,0,1,0,10/14/34,-0.10557,
parviflora,119,Schmalzer_803_TENN,2.11,1.43,2.19,1.71,10.46,0.76,2.81,1.75,7.8,4.9,2,0.6,0.52,0,1,0,9/30/81,0.034049,
parviflora,120,Allawos_523_TENN,2.52,1.51,3.29,1.85,9.72,1.61,5.09,2.34,7.2,4.5,1.75,1.03,0.59,0,1,0,9/19/92,-0.6109,
